id,time,geometry
1,2019-03-22 21:16:58+00:00,POINT (11.911014 50.318356)
1,2019-03-22 21:17:03+00:00,POINT (11.910798 50.317867)
1,2019-03-22 21:17:08+00:00,POINT (11.910547 50.317368)
1,2019-03-22 21:17:14+00:00,POINT (11.910277 50.317112)
1,2019-03-22 21:17:19+00:00,POINT (11.9097 50.317192)
1,2019-03-22 21:17:22+00:00,POINT (11.909162 50.31723)
1,2019-03-22 21:17:28+00:00,POINT (11.90801 50.31727)
1,2019-03-22 21:17:33+00:00,POINT (11.907072 50.3173)
1,2019-03-22 21:17:39+00:00,POINT (11.905946 50.31735)
1,2019-03-22 21:17:42+00:00,POINT (11.905527 50.31734)
1,2019-03-22 21:17:45+00:00,POINT (11.905324 50.317337)
1,2019-03-22 21:17:58+00:00,POINT (11.905122 50.317337)
1,2019-03-22 21:18:03+00:00,POINT (11.904711 50.31727)
1,2019-03-22 21:18:09+00:00,POINT (11.904856 50.31685)
1,2019-03-22 21:18:14+00:00,POINT (11.90516 50.31631)
1,2019-03-22 21:18:19+00:00,POINT (11.905458 50.31569)
1,2019-03-22 21:18:22+00:00,POINT (11.905599 50.315308)
1,2019-03-22 21:18:28+00:00,POINT (11.905739 50.314938)
1,2019-03-22 21:18:59+00:00,POINT (11.905807 50.31466)
1,2019-03-22 21:19:03+00:00,POINT (11.905951 50.314247)
1,2019-03-22 21:19:09+00:00,POINT (11.906243 50.313526)
1,2019-03-22 21:19:12+00:00,POINT (11.906376 50.31316)
1,2019-03-22 21:19:19+00:00,POINT (11.906792 50.312405)
1,2019-03-22 21:19:24+00:00,POINT (11.907203 50.31193)
1,2019-03-22 21:19:27+00:00,POINT (11.907528 50.311653)
1,2019-03-22 21:19:33+00:00,POINT (11.908344 50.311092)
1,2019-03-22 21:19:38+00:00,POINT (11.908928 50.310703)
1,2019-03-22 21:19:44+00:00,POINT (11.90884 50.310493)
1,2019-03-22 21:19:47+00:00,POINT (11.908713 50.310413)
1,2019-03-22 21:19:50+00:00,POINT (11.908648 50.31033)
1,2019-03-22 21:20:12+00:00,POINT (11.908739 50.310253)
1,2019-03-22 21:21:00+00:00,POINT (11.908868 50.310215)
1,2019-03-22 21:21:05+00:00,POINT (11.908985 50.310272)
1,2019-03-22 21:22:42+00:00,POINT (11.909129 50.310284)
1,2019-03-22 21:22:47+00:00,POINT (11.909229 50.31036)
1,2019-03-22 21:22:52+00:00,POINT (11.909375 50.310413)
1,2019-03-22 21:22:58+00:00,POINT (11.909719 50.3102)
1,2019-03-22 21:23:04+00:00,POINT (11.910302 50.309795)
1,2019-03-22 21:23:09+00:00,POINT (11.910731 50.3095)
1,2019-03-22 21:23:14+00:00,POINT (11.910978 50.30931)
1,2019-03-22 21:23:28+00:00,POINT (11.91117 50.30914)
1,2019-03-22 21:23:33+00:00,POINT (11.911487 50.30883)
1,2019-03-22 21:23:38+00:00,POINT (11.911897 50.30841)
1,2019-03-22 21:23:43+00:00,POINT (11.912419 50.307854)
1,2019-03-22 21:23:49+00:00,POINT (11.913046 50.307194)
1,2019-03-22 21:23:54+00:00,POINT (11.913609 50.306652)
1,2019-03-22 21:23:58+00:00,POINT (11.91408 50.30618)
2,2019-03-14 10:27:26+00:00,POINT (11.835503 50.300728)
2,2019-03-14 10:27:41+00:00,POINT (11.840135 50.30153)
2,2019-03-14 10:27:56+00:00,POINT (11.844612 50.302967)
2,2019-03-14 10:28:11+00:00,POINT (11.849354 50.303547)
2,2019-03-14 10:28:26+00:00,POINT (11.854088 50.30405)
2,2019-03-14 10:28:41+00:00,POINT (11.856897 50.306484)
2,2019-03-14 10:28:56+00:00,POINT (11.858905 50.309357)
2,2019-03-14 10:29:11+00:00,POINT (11.863531 50.310055)
